"Canada Mortgage and Housing Corporation, vacancy rates, apartment structures of six units and over, privately initiated in census metropolitan areas 1 2 3"
"Frequency: Annual"
"Table: 34-10-0127-01 (formerly CANSIM 027-0011)"
"Release date: 2025-02-04"
"Geography: Census metropolitan area, Census metropolitan area part"
""
""

"Geography","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
,"Rate",,,,,,,,,,,
"Census metropolitan areas","2.7","2.7","3.3","3.4","2.7","2.2","2.1","3.4","3.4","1.9","1.6","2.4"
"Abbotsford-Mission, British Columbia","3.2","3.1","0.8","0.4","0.2","0.8","1.1","0.6","1.6","2.1","0.9","1.1"
"Barrie, Ontario","2.5","1.5","1.3","2.0","2.8","2.8","3.3","1.9","1.7","2.0","2.7","2.7"
"Brantford, Ontario","2.8","2.2","2.4","2.0","1.3","1.2","2.1","2.2","2.2","1.6","2.4","2.7"
"Calgary, Alberta","1.0","1.4","5.3","6.9","6.2","3.9","3.7","6.5","5.1","2.7","1.4","4.8"
"Edmonton, Alberta","1.4","1.7","4.2","7.1","7.0","5.3","4.9","7.2","7.3","4.3","2.4","3.1"
"Greater Sudbury, Ontario","2.8","3.8","3.2","4.7","4.2","2.1","2.2","1.9","1.3","1.6","1.3","1.5"
"Guelph, Ontario","1.7","1.1","1.2","0.9","1.2","1.4","1.9","2.0","2.0","1.5","1.3","2.0"
"Halifax, Nova Scotia","3.2","3.7","3.3","2.6","2.2","1.5","1.0","1.7","1.0","0.9","0.9","2.0"
"Hamilton, Ontario","3.4","2.1","3.4","3.8","2.3","3.1","3.9","3.6","2.6","1.8","2.1","2.4"
"Kelowna, British Columbia","1.7","0.9","0.7","0.6","0.2","1.9","2.7","2.1","0.6","1.2","1.3","3.8"
"Kingston, Ontario","2.2","1.9","2.9","2.6","0.8","0.5","1.6","2.9","1.1","1.1","0.9","3.0"
"Kitchener-Cambridge-Waterloo, Ontario","2.8","2.2","2.5","2.1","1.9","2.9","2.1","2.1","2.0","1.2","2.0","3.7"
