"Canada Mortgage and Housing Corporation, housing starts, all areas, Canada and provinces, seasonally adjusted at annual rates, monthly (x 1,000) 1 2 3"
"Frequency: Monthly"
"Table: 34-10-0158-01 (formerly CANSIM 027-0054)"
"Release date: 2025-08-19"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

"Geography","January 2013","February 2013","March 2013","April 2013","May 2013","June 2013","July 2013","August 2013","September 2013","October 2013","November 2013","December 2013","January 2014","February 2014","March 2014","April 2014","May 2014","June 2014","July 2014","August 2014","September 2014","October 2014","November 2014","December 2014","January 2015","February 2015","March 2015","April 2015","May 2015","June 2015","July 2015","August 2015","September 2015","October 2015","November 2015","December 2015","January 2016","February 2016","March 2016","April 2016","May 2016","June 2016","July 2016","August 2016","September 2016","October 2016","November 2016","December 2016","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023","July 2023","August 2023","September 2023","October 2023","November 2023","December 2023","January 2024","February 2024","March 2024","April 2024","May 2024","June 2024","July 2024","August 2024","September 2024","October 2024","November 2024","December 2024","January 2025"
,"Units",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canada","164.443","184.818","181.990","179.311","195.145","191.620","197.290","187.634","194.821","199.944","193.840","185.521","185.190","191.756","162.746","198.320","195.657","195.014","202.591","195.869","191.724","179.739","193.390","177.296","187.115","147.197","192.597","181.815","199.576","201.871","192.203","216.496","224.455","195.835","212.762","171.248","177.219","213.427","201.172","191.120","191.982","218.070","199.191","187.631","215.556","194.172","185.786","202.693","206.567","208.686","245.562","212.852","198.484","209.111","229.448","227.274","218.566","220.517","248.331","214.309","216.760","229.432","221.226","211.956","196.246","241.899","201.553","197.116","193.498","213.713","224.465","214.990","200.484","163.048","192.596","229.417","196.581","242.624","219.724","225.555","225.848","204.753","201.775","199.555","200.082","209.589","189.117","161.004","192.551","213.167","244.851","263.630","214.476","227.492","259.934","240.421","291.290","260.922","319.843","272.344","283.092","283.769","274.472","259.630","250.714","236.588","305.206","247.179","229.125","248.877","245.690","262.693","280.961","273.565","277.195","266.521","294.615","261.632","259.518","252.115","209.122","245.635","213.410","260.213","197.016","281.644","252.824","247.320","265.197","270.621","208.445","250.576","231.158","259.921","242.296","241.565","268.069","241.407","275.534","212.923","224.089","245.019","267.301","231.614","233.414"
"Atlantic provinces","14.790","7.472","9.833","8.146","12.918","11.038","9.403","8.909","11.656","11.796","8.703","8.936","6.822","10.007","5.246","5.084","7.955","8.453","13.069","9.527","8.426","8.011","8.124","7.058","11.456","4.953","4.360","4.706","11.106","12.349","10.902","8.162","10.288","7.351","7.549","5.079","6.333","7.791","4.382","5.621","10.144","8.201","6.768","6.632","11.373","8.806","8.403","7.001","7.881","8.654","5.475","9.410","8.944","7.427","9.306","7.075","11.640","8.868","9.228","9.066","9.208","8.992","11.956","8.125","7.689","11.621","11.168","9.249","11.783","7.163","9.713","10.501","6.908","5.662","7.023","7.141","8.202","17.072","10.195","11.610","11.796","8.233","11.264","11.404","6.481","12.257","6.884","5.923","8.717","8.269","16.866","11.480","10.475","6.467","15.823","14.657","12.746","9.648","7.650","10.268","18.573","9.806","13.510","8.273","8.597","15.298","14.946","16.083","11.882","7.679","11.729","8.103","22.868","13.265","17.169","14.816","10.334","7.928","16.412","12.058","7.927","8.980","8.528","12.177","11.268","19.990","13.220","12.649","16.757","17.280","20.456","14.871","15.341","21.275","13.108","14.559","20.540","20.761","15.589","16.592","15.835","13.955","16.550","15.366","16.380"
"Newfoundland and Labrador","3.161","2.654","3.017","3.669","3.032","2.985","2.392","2.520","2.865","3.100","3.098","2.617","2.206","4.946","1.252","1.674","2.282","2.430","2.255","2.354","1.921","2.131","1.878","1.691","5.761","1.204","1.122","0.858","1.713","1.610","1.802","1.645","1.461","1.756","1.777","1.422","2.776","2.064","1.192","1.215","1.581","1.425","1.180","1.534","1.334","1.576","1.203","1.242","1.161","1.360","0.854","0.913","1.060","1.417","1.803","1.415","1.157","1.720","1.780","1.957","1.629","1.230","6.189","1.018","0.827","1.002","1.390","1.188","1.142","0.841","0.877","0.921","0.628","0.651","0.615","0.571","0.740","0.980","0.783","0.985","1.083","1.200","1.330","1.152","0.726","0.799","0.487","0.416","0.358","0.682","0.969","0.877","0.802","0.908","1.216","0.882","1.796","1.205","1.295","1.071","1.146","1.218","0.828","0.644","0.877","1.122","0.891","1.403","1.837","1.778","2.298","1.602","1.442","1.068","1.599","1.527","1.090","0.681","0.784","2.760","0.796","0.842","0.871","0.848","0.778","0.793","1.190","1.268","1.360","0.915","0.894","1.213","2.494","1.689","1.154","1.681","1.231","1.696","1.487","1.877","1.609","1.875","2.269","1.811","1.334"
"Prince Edward Island","1.659","0.433","0.382","0.470","0.979","0.859","0.526","0.247","0.654","0.324","0.360","0.700","0.389","0.417","0.324","0.350","0.858","0.736","0.414","0.329","0.398","0.848","0.504","0.665","0.997","0.296","0.211","0.150","0.366","0.552","0.487","0.620","0.798","1.227","0.517","0.243","0.619","0.186","0.244","0.483","0.960","0.359","0.563","1.031","0.918","0.265","0.461","0.332","0.965","0.582","1.213","0.623","0.846","1.387","1.032","0.728","1.231","0.867","1.171","0.687","0.502","0.799","0.885","1.736","0.797","0.999","0.567","0.901","1.045","0.655","2.072","1.449","0.939","0.475","0.218","0.763","1.291","2.246","1.845","0.910","1.927","1.635","1.340","1.905","0.696","1.627","0.557","0.835","1.237","2.209","0.609","2.222","0.692","0.717","1.188","0.604","1.470","0.758","0.592","1.062","1.488","1.711","1.752","1.057","0.687","1.433","1.244","0.697","0.452","0.635","1.678","1.351","1.026","1.024","0.910","1.238","0.378","1.078","1.712","1.012","0.793","0.995","0.724","1.059","0.469","0.548","1.409","1.476","0.387","1.203","0.754","0.721","1.643","0.504","1.157","0.497","1.716","0.728","2.627","0.978","0.677","1.803","0.421","1.755","3.447"
"Nova Scotia","7.312","1.544","4.792","2.629","5.251","2.856","4.376","2.463","5.176","5.610","2.328","2.454","1.794","1.722","2.300","1.852","3.375","2.718","5.549","3.990","4.194","2.570","3.489","3.138","2.867","1.834","2.010","2.808","7.611","7.692","6.132","3.677","5.147","2.194","2.707","1.630","1.497","4.528","1.714","2.313","4.713","4.894","3.856","2.413","5.525","4.604","4.740","3.671","3.752","5.805","1.854","6.578","4.570","2.614","4.427","3.459","5.383","2.668","3.551","3.566","5.007","5.484","3.130","3.994","3.944","6.339","6.553","5.414","6.846","2.754","3.797","5.351","3.366","3.493","4.953","3.913","3.819","8.077","4.382","5.514","4.267","3.220","4.048","6.810","2.958","8.102","2.897","2.543","3.806","2.853","8.070","3.890","6.469","2.699","8.178","6.451","6.676","5.665","4.770","3.736","9.175","2.597","5.320","2.429","4.200","9.587","7.804","9.664","7.931","3.952","2.965","2.529","11.698","5.680","9.206","5.806","3.653","3.633","4.994","5.645","3.615","4.631","4.202","4.696","5.524","14.013","6.112","3.209","8.897","10.022","12.950","7.926","6.874","13.076","8.594","7.970","8.843","12.038","6.401","3.985","4.505","4.567","6.292","5.968","8.528"
"New Brunswick","2.658","2.841","1.642","1.378","3.656","4.338","2.109","3.679","2.961","2.762","2.917","3.165","2.433","2.922","1.370","1.208","1.440","2.569","4.851","2.854","1.913","2.462","2.253","1.564","1.831","1.619","1.017","0.890","1.416","2.495","2.481","2.220","2.882","2.174","2.548","1.784","1.441","1.013","1.232","1.610","2.890","1.523","1.169","1.654","3.596","2.361","1.999","1.756","2.003","0.907","1.554","1.296","2.468","2.009","2.044","1.473","3.869","3.613","2.726","2.856","2.070","1.479","1.752","1.377","2.121","3.281","2.658","1.746","2.750","2.913","2.967","2.780","1.975","1.043","1.237","1.894","2.352","5.769","3.185","4.201","4.519","2.178","4.546","1.537","2.101","1.729","2.943","2.129","3.316","2.525","7.218","4.491","2.512","2.143","5.241","6.720","2.804","2.020","0.993","4.399","6.764","4.280","5.610","4.143","2.833","3.156","5.007","4.319","1.662","1.314","4.788","2.621","8.702","5.493","5.454","6.245","5.213","2.536","8.922","2.641","2.723","2.512","2.731","5.574","4.497","4.636","4.509","6.696","6.113","5.140","5.858","5.011","4.330","6.006","2.203","4.411","8.750","6.299","5.074","9.752","9.044","5.710","7.568","5.832","3.071"
"Quebec","34.884","41.595","36.987","41.843","37.589","36.066","36.984","36.014","36.025","37.876","37.653","39.031","35.912","52.221","38.165","40.752","41.174","35.403","35.491","34.882","36.087","38.968","46.136","34.069","31.791","24.159","32.125","30.895","35.992","42.512","43.984","40.213","45.951","35.977","35.698","41.099","42.123","42.247","37.521","32.054","41.864","37.597","34.321","38.349","48.118","36.656","37.180","39.109","38.962","44.654","55.617","41.372","37.543","40.258","44.780","45.038","50.215","52.739","49.023","52.907","42.763","51.064","50.122","54.513","42.397","53.670","35.598","30.130","41.316","51.120","51.474","54.966","41.267","35.972","63.644","49.815","47.817","51.647","51.261","53.590","44.824","52.964","43.327","39.909","62.514","50.351","45.945","0.000","61.691","60.306","61.943","63.875","56.437","53.371","64.450","65.297","95.550","82.777","77.495","68.767","66.428","71.122","68.100","54.911","62.869","59.097","66.784","58.631","77.807","59.560","73.406","65.591","67.723","53.775","61.804","55.535","47.328","55.272","46.938","36.873","39.743","49.516","35.055","39.534","27.889","33.590","38.433","50.757","50.816","41.243","28.103","44.582","53.561","46.843","46.664","39.205","60.306","54.663","35.080","41.242","40.654","52.921","63.998","50.575","62.236"
"Ontario","47.764","68.905","58.110","49.672","65.877","59.735","62.198","70.928","60.752","71.221","60.905","56.839","64.447","61.820","42.108","67.440","65.443","55.605","68.712","52.171","53.423","52.954","58.842","60.084","61.375","41.948","62.912","64.890","84.012","57.381","51.031","96.148","90.318","75.115","87.755","55.083","61.053","76.113","86.185","68.210","72.047","88.350","79.231","74.712","69.061","84.729","58.144","79.135","98.080","83.459","88.180","74.274","55.552","78.350","82.919","97.267","77.207","60.636","97.715","64.877","84.077","102.782","73.480","69.794","56.660","104.647","68.846","63.800","76.899","91.823","85.106","70.994","74.934","55.533","60.170","85.931","50.528","66.987","68.963","82.897","85.283","74.629","63.809","58.215","69.786","78.293","64.090","92.730","57.970","80.038","86.037","115.026","82.161","88.178","86.170","74.370","99.339","85.348","124.197","109.709","102.040","90.681","100.469","108.435","101.006","81.060","129.902","72.908","63.718","101.792","85.620","79.494","89.651","95.996","97.166","101.382","134.514","91.276","101.844","109.034","74.872","102.900","79.415","112.332","69.894","121.447","97.589","82.652","101.203","102.632","64.000","71.127","81.022","87.530","72.803","73.908","86.710","67.852","106.680","60.916","64.995","66.397","60.734","64.716","58.405"
"Prairie provinces","44.004","44.763","51.216","55.606","56.153","53.944","55.859","44.877","55.130","53.605","58.445","48.842","51.798","45.547","50.031","58.520","50.965","67.102","57.217","63.350","64.365","55.877","50.104","45.110","55.242","51.706","59.764","43.904","43.069","53.219","48.877","44.339","48.762","41.372","53.652","34.759","33.113","32.262","29.424","39.058","31.885","34.355","38.875","31.264","38.518","36.276","36.356","35.980","33.341","40.869","48.674","41.873","48.344","42.877","44.192","39.972","39.165","41.409","45.863","36.002","35.594","32.447","36.653","38.702","46.460","35.555","42.728","46.663","35.546","30.639","37.980","27.402","34.073","27.724","27.243","33.983","34.440","45.212","38.468","40.739","42.278","34.673","35.100","46.985","31.595","27.031","38.799","32.508","25.388","25.788","39.485","29.501","33.274","46.228","43.301","42.318","45.200","38.437","40.022","44.400","48.715","44.694","41.394","41.024","43.037","45.054","53.905","44.568","36.835","44.862","42.373","55.460","58.607","54.287","52.539","46.120","49.003","62.296","45.846","36.446","35.509","45.708","38.203","34.832","47.104","41.350","55.196","53.311","57.244","48.916","56.374","57.557","50.240","57.672","49.021","59.258","54.339","57.306","69.176","59.541","58.791","67.970","74.586","53.894","57.153"
